time ave_stress_front ave_stress_right ave_stress_top disp_x_right disp_y_top disp_z_front force_x force_y force_z
0 0 0 0 0 0 0 0 0 0
0.0005 8.1804187320803 8.173435373774 8.1678107929972 0.0005 0.0005 0.0005 13077.496598038 13068.497268795 13088.669971328
0.0011 17.99616584754 17.98080124822 17.968429004757 0.0011 0.0011 0.0011 28769.281997152 28749.486407612 28793.865356064
0.00182 29.770675871576 29.745248605926 29.724787135738 0.00182 0.00182 0.00182 47592.397769481 47559.65941718 47633.081394522
0.002684 43.888073471269 43.850557556602 43.82041031242 0.002684 0.002684 0.002684 70160.892090563 70112.656499871 70220.91755403
0.003684 60.200484101553 60.148944762412 60.107642220713 0.0036839999999999 0.003684 0.003684 96238.31161986 96172.227553141 96320.774562485
0.004684 76.459811723815 76.394173610717 76.34181844451 0.0046840000000001 0.004684 0.004684 122230.67777715 122146.90951122 122335.6987581
0.005684 92.653288248114 92.573475427345 92.510192639255 0.0056839999999999 0.0056839999999999 0.005684 148117.56068375 148016.30822281 148245.26119698
0.006684 108.76478579699 108.67070443224 108.59666391515 0.0066839999999999 0.0066839999999999 0.0066839999999999 173873.12709159 173754.66226424 174023.65727518
0.007684 124.77834035496 124.66985878012 124.58524408077 0.007684 0.007684 0.007684 199471.77404819 199336.39052924 199645.34456793
0.008684 140.67817887434 140.55515071149 140.46019447628 0.008684 0.0086839999999999 0.008684 224888.24113838 224736.31116205 225085.08619894
0.009684 156.44874967837 156.31102417923 156.20597370063 0.009684 0.009684 0.009684 250097.63868676 249929.55792101 250317.99948538
0.010684 172.07480980723 171.92217074481 171.80733205187 0.010684 0.010684 0.010684 275075.4731917 274891.73128299 275319.69569157
0.011684 187.54133081252 187.37357678261 187.24928135265 0.011684 0.011684 0.011684 299797.72285217 299598.85016424 300066.12930003
0.012684 202.83365930079 202.65056146137 202.5171584705 0.012684 0.012684 0.012684 324240.89833819 324027.45355279 324533.85488127
0.013684 217.93743546966 217.73873936145 217.59662613198 0.013684 0.013684 0.013684 348381.98297831 348154.60181117 348699.89675145
0.014684 232.83870616175 232.62412835909 232.47372729928 0.014684 0.014684 0.014684 372198.60537455 371957.96367885 372541.9298588
0.015684 247.52383877681 247.29305340868 247.13484513497 0.015684 0.015684 0.015684 395668.88545389 395415.75221595 396038.14204289
0.016684 261.97962846143 261.7323159842 261.56681164761 0.016684 0.016684 0.016684 418771.70557472 418506.89863618 419167.40553828
0.017684 276.19327805097 275.92907506948 275.75682817815 0.017684 0.017684 0.017684 441486.52011118 441210.92508503 441909.24488155
0.018684 290.15240542523 289.87091845664 289.69252753344 0.018684 0.018684 0.018684 463793.46953062 463508.0440535 464243.84868038
0.019684 303.84505583975 303.54585864393 303.36197083138 0.019684 0.019684 0.019684 485673.37383029 485379.15333021 486152.08934361
0.020684 317.25970423824 316.9423361646 316.75365084935 0.020684 0.020684 0.020684 507107.73786335 506805.84135896 507615.52678118
0.021684 330.38525522876 330.04921715202 329.85649188042 0.021684 0.021684 0.021684 528078.74744323 527770.38700868 528616.40836602
0.022684 343.21103688371 342.85578826267 342.65984501804 0.022684 0.022684 0.022684 548569.26122027 548255.75202887 549137.65901394
0.023684 355.72678978735 355.35174408216 355.15347738889 0.023684 0.023684 0.023684 568562.79053146 568245.56382222 569162.86365976
0.024684 367.92265020756 367.52716929994 367.32755653791 0.024684 0.024684 0.024684 588043.47087991 587724.09046065 588676.2403321
0.025684 379.78912426808 379.37251240844 379.17262703113 0.025684 0.025684 0.025684 606996.01985351 606676.20324981 607662.59882893
0.026684 391.31705499151 390.87855004816 390.67957847806 0.026684 0.026684 0.026684 625405.68007706 625087.3255649 626107.28798641
0.027684 402.49757769569 402.03634164821 401.83960410364 0.027684 0.027684 0.027684 643258.14663714 642943.36656582 643996.12431311
0.028684 413.32206123218 412.83716733657 412.64414622999 0.028683999999999 0.028684 0.028684 660539.46773851 660230.63396798 661315.29797149
0.029684 423.78203267988 423.27244929412 423.08482563498 0.029684 0.029684 0.029684 677235.91887059 676935.72101598 678051.2522878
0.030684 433.86907858738 433.33364918298 433.15335137303 0.030684000000001 0.030684 0.030684 693333.83869276 693045.36219685 694190.5257398
0.031684 443.57471585094 443.01213155824 442.84140077951 0.031683999999999 0.031684 0.031684 708819.41049318 708546.24124722 709719.5453615
0.032684 452.89021731573 452.298983533 452.14046369287 0.032684 0.032684 0.032684 723678.3736528 723424.74190859 724624.34770517
0.033684 461.80637989274 461.18476940095 461.04163213608 0.033684 0.033684 0.033684 737895.63104152 737666.61141773 738890.20782839
0.034684 470.31319836336 469.65918930746 469.53531213884 0.034683999999999 0.034684 0.034684 751454.70289194 751256.49942214 752501.11738138
0.035684 478.39940189639 477.71059408577 477.61081833434 0.035684 0.035684 0.035684 764336.95053723 764177.30933494 765439.04303423
0.036684 486.05176877972 485.32526725521 485.25578414984 0.036684 0.036684 0.036684 776520.42760834 776409.25463975 777682.83004755
0.037684 493.25407603316 492.48632962901 492.45527294466 0.037683999999999 0.037684 0.037684 787978.12740642 787928.43671145 789206.52165306
0.038684 499.98541671683 499.17198677953 499.19035203218 0.038684 0.038684 0.038684 798675.17884725 798704.5632515 799976.66674692
0.039684 506.21734270919 505.35258248946 505.43575948711 0.039684000000001 0.039684 0.039684 808564.13198314 808697.21517938 809947.7483347
0.040684 511.90882050794 510.98538590052 511.1556562718 0.040683999999999 0.040684 0.040684 817576.61744083 817849.05003487 819054.11281271
0.041684 516.99679681244 516.00470417297 516.2957789249 0.041684 0.041684 0.041684 825607.52667676 826073.24627984 827194.8748999
0.042684 521.37819229105 520.30251818757 520.76783113704 0.042684000000001 0.042684000000001 0.042684 832484.02910012 833228.52981927 834205.10766567
0.043684 524.87914839972 523.6918106002 524.42389354995 0.043683999999999 0.043684 0.043684 837906.89696032 839078.22967992 839806.63743955
0.044184 521.33283094655 519.97819221636 521.14382063876 0.044184000000001 0.044184000000001 0.044184000000001 831965.10754618 833830.11302202 834132.52951448
0.044434 517.19321131663 515.51945325789 517.39660052414 0.044434 0.044434 0.044434 824831.12521263 827834.56083862 827509.1381066
0.044559 512.28145097882 510.11206443788 513.13800066329 0.044559 0.044559 0.044559 816179.30310062 821020.80106127 819650.32156611
0.0446215 505.79236210057 503.1962662967 507.90892416189 0.0446215 0.0446215 0.0446215 805114.02607472 812654.27865902 809267.77936091
0.04465275 497.10278464425 494.23952225404 501.13771043329 0.04465275 0.04465275 0.04465275 790783.23560646 801820.33669327 795364.45543081
0.044668375 485.96525289657 482.43771746607 492.46405883944 0.044668375 0.044668375 0.044668375 771900.34794571 787942.49414311 777544.4046345
0.0446761875 472.9439101689 467.65403256552 481.82826199306 0.0446761875 0.0446761875 0.0446761875 748246.45210484 770925.2191889 756710.25627024
0.04468009375 458.79993277354 451.18583739494 470.58407404036 0.044680093750001 0.04468009375 0.04468009375 721897.33983191 752934.51846458 734079.89243766
0.044682046875 444.29429336727 435.89351750674 460.55618888448 0.044682046875001 0.044682046875 0.044682046875 697429.62801079 736889.90221517 710870.86938763
0.0446830234375 430.31317639622 422.19837184096 451.54830842661 0.0446830234375 0.0446830234375 0.0446830234375 675517.39494555 722477.29348258 688501.08223396
0.04468351171875 417.41221887516 410.40112977335 443.15079604512 0.04468351171875 0.04468351171875 0.04468351171875 656641.80763736 709041.27367219 667859.55020026
0.044683755859375 405.00221430506 398.73061856319 434.20917957912 0.044683755859374 0.044683755859374 0.044683755859375 637968.98970111 694734.68732659 648003.54288809
0.044683877929688 391.68412656551 386.21475681422 424.33949057611 0.044683877929687 0.044683877929688 0.044683877929688 617943.61090275 678943.18492177 626694.60250481
0.044683938964844 376.46836383674 372.6684509809 413.70182063402 0.044683938964844 0.044683938964844 0.044683938964844 596269.52156944 661922.91301444 602349.38213879
0.044683969482422 359.18992129233 358.74191077175 402.52985485898 0.044683969482421 0.044683969482421 0.044683969482421 573987.0572348 644047.76777436 574703.87406773
0.044683984741211 341.20038084378 345.86277359734 391.69286848245 0.044683984741212 0.044683984741211 0.044683984741211 553380.43775575 626708.58957191 545920.60935005
0.044683992370605 322.14293854715 333.85196121934 381.30861513287 0.044683992370606 0.044683992370606 0.044683992370605 534163.13795095 610093.7842126 515428.70167544
0.044683996185303 302.17475630736 322.17630009194 371.13499719249 0.044683996185303 0.044683996185303 0.044683996185303 515482.0801471 593815.99550799 483479.61009177
0.044683998092651 283.19978383866 311.22095281439 361.94091059961 0.044683998092651 0.044683998092651 0.044683998092651 497953.52450303 579105.45695938 453119.65414185
0.044683999046326 267.15482311655 301.77634235237 354.27075152006 0.044683999046326 0.044683999046326 0.044683999046326 482842.14776379 566833.20243209 427447.71698648
0.044683999523163 255.67984216391 294.56479354184 348.49639407944 0.044683999523163 0.044683999523163 0.044683999523163 471303.66966695 557594.23052711 409087.74746225
0.044683999761581 246.60625294592 289.24946510776 344.0163747518 0.044683999761581 0.044683999761581 0.044683999761581 462799.14417242 550426.19960288 394570.00471347
0.044683999880791 239.52049364126 285.35235476491 340.54452038689 0.044683999880791 0.044683999880791 0.044683999880791 456563.76762386 544871.23261902 383232.78982602
0.044683999940395 234.28989132869 282.63655912211 338.0199505714 0.044683999940396 0.044683999940396 0.044683999940396 452218.49459538 540831.92091424 374863.8261259
0.044683999970198 230.93657916932 280.92860390037 336.38198902873 0.044683999970197 0.044683999970197 0.044683999970197 449485.7662406 538211.18244596 369498.52667091
0.044683999985099 229.04385020325 279.95224927875 335.42289641571 0.044683999985099 0.044683999985099 0.044683999985099 447923.598846 536676.63426513 366470.16032519
0.044683999992549 228.00939704129 279.41491236546 334.88759525773 0.04468399999255 0.04468399999255 0.04468399999255 447063.85978474 535820.15241237 364815.03526607
0.044684 227.03314207214 278.9076569299 334.3747281319 0.044683999999999 0.044684 0.044684 446252.25108785 534999.56501104 363253.02731542
0.044684000007451 226.09705239969 278.42207529175 333.876856813 0.04468400000745 0.04468400000745 0.04468400000745 445475.32046681 534202.9709008 361755.28383951
0.044684000014901 225.19194369173 277.95348915802 333.38967838259 0.044684000014902 0.044684000014901 0.044684000014901 444725.58265284 533423.48541215 360307.10990677
0.044684000022352 224.31264966775 277.49914640086 332.91077224432 0.044684000022351 0.044684000022351 0.044684000022351 443998.63424138 532657.23559092 358900.2394684
0.044684000029802 223.4559942031 277.05710900043 332.43869538044 0.044684000029803 0.044684000029803 0.044684000029803 443291.37440069 531901.91260871 357529.59072496
0.044684000037253 222.61936871095 276.62577413786 331.97271270772 0.044684000037252 0.044684000037253 0.044684000037253 442601.23862058 531156.34033235 356190.98993752
0.044684000044704 221.80080313508 276.20398099306 331.51225425487 0.044684000044704 0.044684000044704 0.044684000044704 441926.3695889 530419.60680779 354881.28501613
0.044684000052154 220.99916812419 275.79099539595 331.05691461155 0.044684000052155 0.044684000052154 0.044684000052154 441265.59263352 529691.06337849 353598.6689987
0.044684000059605 220.21403598031 275.38631198403 330.60618542399 0.044684000059604 0.044684000059604 0.044684000059604 440618.09917444 528969.89667839 352342.4575685
0.044684000067055 219.44647359356 274.99006537218 330.15932556504 0.044684000067056 0.044684000067055 0.044684000067055 439984.1045955 528254.92090406 351114.3577497
0.044684000074506 218.69722796735 274.60208860253 329.71556644201 0.044684000074505 0.044684000074505 0.044684000074505 439363.34176405 527544.90630722 349915.56474776
0.044684000078231 218.29084596946 274.3899787244 329.47097455035 0.044684000078232 0.044684000078231 0.044684000078231 439023.96595905 527153.55928056 349265.35355113
0.044684000081956 217.8919159372 274.18139447185 329.22783091785 0.044684000081957 0.044684000081957 0.044684000081957 438690.23115496 526764.52946856 348627.06549952
0.044684000085682 217.49937786212 273.97581803022 328.98557071824 0.044684000085681 0.044684000085681 0.044684000085681 438361.30884836 526376.91314918 347999.0045794
0.044684000089407 217.11250742613 273.7728480757 328.74364063593 0.044684000089407 0.044684000089407 0.044684000089407 438036.55692112 525989.82501749 347380.01188181
0.044684000093132 216.73067061906 273.57213882 328.50154204558 0.044684000093133 0.044684000093132 0.044684000093132 437715.422112 525602.46727294 346769.07299049
0.044684000096858 216.35324813649 273.37341075922 328.25878005966 0.044684000096858 0.044684000096858 0.044684000096858 437397.45721476 525214.04809545 346165.19701838
