time ave_stress_top disp_y_top force_y
0 0 0 0
0.0005 1.6041666656526 0.0005 23099.999985398
0.0011 3.5291671831809 0.0011 50820.007437805
0.00182 5.8391524233407 0.00182 84083.794896106
0.002684 8.6111041501755 0.002684 123999.89976253
0.003684 11.819307708175 0.003684 170198.03099772
0.004684 15.027363615406 0.004684 216394.03606185
0.005684 18.235239450195 0.005684 262587.44808281
0.006684 21.442887571125 0.006684 308777.58102421
0.007684 24.650261071162 0.007684 354963.75942473
0.008684 27.857324438872 0.008684 401145.47191975
0.009684 31.064029172181 0.009684 447322.02007941
0.010684 34.270319462228 0.010684 493492.60025609
0.011684 37.476173605714 0.011684 539656.89992228
0.012684 40.681524905313 0.012684 585813.9586365
0.013684 43.886329425985 0.013684 631963.14373418
0.014684 47.090555365214 0.014684 678103.99725909
0.015684 50.294148542285 0.015684 724235.7390089
0.016684 53.497067490515 0.016684 770357.77186341
0.017684 56.699263081459 0.017684 816469.388373
0.018684 59.900695435561 0.018684 862570.01427208
0.019684 63.101316300015 0.019684 908658.95472022
0.020684 66.301078753829 0.020684 954735.53405514
0.021684 69.499948851317 0.021684 1000799.263459
0.022684 72.697865862869 0.022684 1046849.2684253
0.023684 75.894801245154 0.023684 1092885.1379302
0.024684 79.090699426066 0.024684 1138906.0717354
0.025684 82.285517682358 0.025684 1184911.454626
0.026684 85.479214185515 0.026684 1230900.6842714
0.027684 88.671736421872 0.027684 1276873.004475
0.028684 91.863054902222 0.028684 1322827.990592
0.029684 95.053102567252 0.029684 1368764.6769684
0.030684 98.241857696579 0.030684 1414682.7508307
0.031684 101.42926595459 0.031684 1460581.429746
0.032684 104.61528292925 0.032684 1506460.0741812
0.033684 107.7998640194 0.033684 1552318.0418794
0.034684 110.98296460692 0.034684 1598154.6903396
0.035684 114.16454048509 0.035684 1643969.3829853
0.036684 117.34454692168 0.036684 1689761.4756723
0.037684 120.52293959076 0.037684 1735530.3301069
0.038684 123.69967430054 0.038684 1781275.3099278
0.039684 126.87470641404 0.039684 1826995.7723622
0.040684 130.04799212956 0.040684 1872691.0866656
0.041684 133.21948613039 0.041684 1918360.6002776
0.042684 136.38914509204 0.042684 1964003.6893254
0.043684 139.55692453277 0.043684 2009619.7132718
0.044684 142.7227806626 0.044684 2055208.0415414
0.045684 145.88666831531 0.045684 2100768.0237405
0.046684 149.04854531673 0.046684 2146299.052561
0.047684 152.20836578937 0.047684 2191800.4673669
0.048684 155.36608666806 0.048684 2237271.6480201
0.049684 158.52166306641 0.049684 2282711.9481563
0.050684 161.67505261101 0.050684 2328120.7575985
0.051684 164.82620955338 0.051684 2373497.4175686
0.052684 167.9750909774 0.052684 2418841.3100746
